Customer_ID,Customer_Name,State,District,Market,Season,Commodity,Variety
0,Anouska,Andhra Pradesh,Chittor,Chittoor,Kharif     ,Gur(Jaggery),NO 1
1,Tuhina,Andhra Pradesh,Chittor,Chittoor,Rabi       ,Gur(Jaggery),NO 2
2,Ujan,Andhra Pradesh,Chittor,Chittoor,Autumn     ,Gur(Jaggery),NO 3
3,Aman,Andhra Pradesh,Chittor,Punganur,Summer     ,Tomato,Hybrid
4,Om,Andhra Pradesh,Chittor,Vayalapadu,Autumn     ,Tomato,Local
5,Ajay,Andhra Pradesh,Kurnool,Alur,Summer     ,Jowar(Sorghum),Jowar ( White)
6,Ram,Andhra Pradesh,Kurnool,Atmakur,Kharif     ,Maize,Hybrid/Local
7,Shyam,Andhra Pradesh,Kurnool,Atmakur,Kharif     ,Paddy(Dhan)(Common),Sona Mahsuri
8,Laskmna,Andhra Pradesh,Kurnool,Banaganapalli,Summer ,Bengal Gram(Gram)(Whole),Desi (Whole)
9,Sita,Andhra Pradesh,Kurnool,Banaganapalli,Summer ,Jowar(Sorghum),Jowar ( White)
10,Riya,Andhra Pradesh,Kurnool,Banaganapalli,Summer ,Paddy(Dhan)(Common),Sona Mahsuri
11,Tiya,Andhra Pradesh,Kurnool,Nandikotkur,Summer ,Bengal Gram(Gram)(Whole),Gulabi
12,Jai,Andhra Pradesh,Kurnool,Nandikotkur,Summer ,Maize,Hybrid
13,Prachi,Andhra Pradesh,Kurnool,Nandikotkur,Rabi       ,Paddy(Dhan)(Common),Sona
14,Meenakshi,Andhra Pradesh,West Godavari,Gopalavaram,Rabi       ,Lemon,Lemon
15,Anu,Bihar,Bhojpur,Bihiya,Rabi       ,Brinjal,Arkasheela Mattigulla
16,Ruchika,Bihar,Kaimur/Bhabhua,Kaimur,Rabi       ,Cauliflower,Other
17,Adyasha,Bihar,Kaimur/Bhabhua,Kaimur,Rabi       ,Onion,1st Sort
18,Manya,Bihar,Kaimur/Bhabhua,Kaimur,Rabi       ,Potato,(Red Nanital)
19,Aakanksha,Bihar,Kishanganj,Bahadurganj,Rabi       ,Apple,American
20,Nandana,Bihar,Kishanganj,Bahadurganj,Rabi       ,Banana,Amruthapani
21,Vatsal,Bihar,Kishanganj,Bahadurganj,Rabi       ,Cabbage,Cabbage
22,Sooryansh,Bihar,Kishanganj,Bahadurganj,Rabi       ,Cauliflower,African Sarson
23,Aayush,Bihar,Kishanganj,Bahadurganj,Kharif     ,Coriander(Leaves),Coriander
24,Kartik,Bihar,Kishanganj,Bahadurganj,Kharif     ,Grapes,Annabesahai
25,Utkarshini,Bihar,Kishanganj,Bahadurganj,Summer ,Onion,1st Sort
26,Kirti,Bihar,Kishanganj,Bahadurganj,Rabi       ,Potato,(Red Nanital)
27,Preeti,Bihar,Kishanganj,Bahadurganj,Rabi       ,Tomato,Deshi
28,aamod,Bihar,Munghair,Munghair,Rabi       ,Bottle gourd,Bottle Gourd
29,aamosh,Bihar,Munghair,Munghair,Rabi       ,Brinjal,Arkasheela Mattigulla
30,aamrin,Bihar,Munghair,Munghair,Rabi       ,Cabbage,Cabbage
31,aanad,Bihar,Munghair,Munghair,Rabi       ,Cauliflower,African Sarson
32,aanamika,Bihar,Munghair,Munghair,Rabi       ,Field Pea,Field Pea
33,aanand,Bihar,Munghair,Munghair,Rabi       ,Onion,1st Sort
34,aanchal,Bihar,Munghair,Munghair,Rabi       ,Potato,(Red Nanital)
35,aanik,Bihar,Munghair,Munghair,Rabi       ,Raddish,Other
36,aanil,Bihar,Munghair,Munghair,Summer ,Tomato,Deshi
37,aansi,Bihar,Nawada,Nawada,Summer ,Bhindi(Ladies Finger),Bhindi
38,aansu,Bihar,Nawada,Nawada,Summer ,Brinjal,Other
39,aanya,Bihar,Nawada,Nawada,Summer ,Cabbage,Cabbage
40,aaradhana,Bihar,Nawada,Nawada,Summer ,Onion,Other
41,aarati,Bihar,Nawada,Nawada,Rabi       ,Potato,Other
42,aarav,Bihar,Nawada,Nawada,Rabi       ,Tomato,Deshi
43,aardhna,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Bottle gourd,Bottle Gourd
44,aarif,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Brinjal,Round/Long
45,aarifa,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Cabbage,Cabbage
46,aarifun,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Cauliflower,African Sarson
47,aarju,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Coriander(Leaves),Coriander
48,aarti,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Green Chilli,Green Chilly
49,aarushi,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Onion,1st Sort
